token,count
malaria,34
arthritis,21
hypertension,18
pain,13
allergy,10
osteoarthritis,6
knee,6
stress,5
eye,5
parasite,4
post,4
stable,4
polyarthritis,3
infection,3
refractive,3
error,3
pud,3
fever,3
hepatitis,3
anxiety,3
ulcer,3
insomnia,3
cataract,2
tract,2
lumbar,2
oxidative,2
job,2
related,2
dysentery,2
cold,2
itch,2
disorder,2
result,2
conjunctivitis,2
hypertensive,2
rti,2
taenia,2
pneumonia,2
stroke,2
helminthiasis,1
respiratory,1
spodylosis,1
myalgia,1
pid,1
repritaory,1
spondylitis,1
radiculopathy,1
foot,1
wart,1
diabetes,1
mellitus,1
menorrhagia,1
secondary,1
uterine,1
fibroid,1
thyphi,1
lumber,1
potential,1
examination,1
stomach,1
skin,1
reactive,1
angina,1
thyphoid,1
food,1
poisoning,1
previous,1
surgery,1
issue,1
hypotension,1
paralysis,1
appendicitis,1
pregnancy,1
ms,1
high,1
menopause,1
syndrome,1
amenorrhoea,1
posy,1
pelvic,1
disease,1
poty,1
bpe,1
capitus,1
