token,count
pain,53
headache,23
body,20
leg,14
fever,12
joint,11
vision,9
ache,9
eye,9
blurred,7
hypertension,7
general,7
high,6
cough,6
numbness,6
hand,6
back,5
left,5
difficulty,5
sleeping,5
chest,4
itching,4
stomach,4
coughing,4
right,4
occasionally,4
ulcer,4
temperature,4
foot,3
persistent,3
night,3
stress,3
hypertensive,3
breast,3
hotness,3
arm,3
feel,3
head,2
arthritis,2
knee,2
malaise,2
poor,2
low,2
stroke,2
issue,2
month,2
sweat,2
shivering,2
walking,2
lactating,2
mother,2
get,2
relieved,2
drug,2
cattarh,2
time,2
internally,2
drowsy,2
well,2
flow,2
blood,1
pressure,1
pruritus,1
hypersensitivity,1
redness,1
diabetes,1
mellitus,1
weakness,1
present,1
severe,1
lower,1
owing,1
nature,1
job,1
allergy,1
related,1
chronic,1
catarrh,1
diarrhoea,1
bloody,1
stool,1
intermittent,1
typhoid,1
upper,1
disorder,1
polyarthritis,1
internal,1
heat,1
stiffness,1
cattathh,1
itchy,1
insomina,1
red,1
blurring,1
seizure,1
post,1
pian,1
hepatitis,1
conjunctivitis,1
palpitation,1
