token,count
tab,196
dly,82
bid,64
day,57
tds,51
vit,47
pcm,40
diclofenac,34
nocte,32
act,29
piriton,26
week,25
vitamin,22
multivite,21
bco,21
albendazole,18
daily,16
mectizan,15
stat,14
amlodipine,13
syrup,12
calcium,12
adult,10
prednesolone,9
diclofenanc,9
eye,8
drop,8
vitc,8
loratadine,8
yeast,8
multivitamin,7
ml,7
art,7
lum,7
tizanidin,7
gel,6
multivit,6
vasoprin,6
antallerge,6
flagyl,6
omeprazole,6
amoxil,6
amlodepine,6
nifedipine,5
lisinopril,5
tizanidine,4
cough,4
fesolate,4
cefixime,3
vitbco,3
buscopan,3
hydrex,2
pack,2
muktivit,2
prition,2
amoxicillin,2
doxycycline,2
month,2
ciprofloxaxine,2
ointment,2
azithromycin,2
iii,2
vadoprin,2
gelusil,1
refered,1
antallergebeye,1
give,1
mutivit,1
ibuprofen,1
loratdine,1
loratdadine,1
nifidipine,1
albedazole,1
noct,1
dlt,1
nucta,1
albemdazole,1
cholraphenicol,1
calcitone,1
antallarge,1
eyedrop,1
mulitvite,1
antallerg,1
peadeatric,1
whitefield,1
tan,1
lap,1
lisonpril,1
promethazine,1
text,1
clamour,1
mecti,1
bidx,1
desolate,1
dlyx,1
prednisolone,1
see,1
urologist,1
alt,1
vista,1
